LTS,OOP,coffee,collaborative,comments,comparative_ratio,desktop,experience,functional_programming,gamer,graphical_app,indentation,limited_sleep,multiplatform,online_documentation,performance,simple_syntax,video_game,class
Yes,No,Yes,Yes,22.74,0.9641,No,9.4,No,Yes,No,No,Yes,Yes,Yes,No,No,No,java
No,Yes,Yes,Yes,26.58,1.0303,Yes,5.4,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,java
No,Yes,No,Yes,12.55,0.9876,No,2.3,No,Yes,No,No,No,No,Yes,No,No,No,java
Yes,Yes,Yes,No,23.95,1.0136,Yes,8.0,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,java
Yes,No,Yes,Yes,20.37,0.9645,No,18.6,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,20.67,1.0508,No,0.3,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,java
Yes,No,Yes,Yes,15.02,0.9761,Yes,14.9,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,No,No,No,14.09,0.9411,Yes,4.1,No,No,No,No,No,Yes,No,Yes,No,No,java
Yes,Yes,Yes,No,14.46,0.9826,No,2.9,No,No,No,Yes,Yes,Yes,No,No,No,No,java
Yes,No,No,Yes,23.08,0.9414,Yes,4.9,No,No,No,No,Yes,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,19.12,0.9864,No,9.3,No,No,Yes,No,Yes,Yes,No,Yes,No,No,java
Yes,Yes,No,Yes,26.22,0.9428,No,10.7,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,No,Yes,Yes,23.01,1.0288,No,15.3,No,Yes,Yes,No,No,No,Yes,No,No,No,java
Yes,No,Yes,No,23.55,0.9395,No,5.6,No,No,No,No,No,Yes,Yes,No,No,Yes,java
No,No,No,No,27.07,1.0866,Yes,9.7,No,Yes,No,No,No,No,No,No,No,No,java
Yes,No,Yes,No,16.70,1.0179,Yes,13.8,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,19.03,1.0225,No,10.8,No,No,Yes,No,No,Yes,No,Yes,No,No,java
Yes,No,No,No,25.01,1.0516,Yes,8.0,No,No,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,No,Yes,Yes,12.47,1.0353,Yes,14.9,No,Yes,No,No,No,No,Yes,Yes,No,No,java
Yes,Yes,No,No,20.64,1.0296,No,8.0,No,No,Yes,No,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,No,16.00,0.9471,Yes,8.4,No,Yes,No,No,No,Yes,No,Yes,Yes,No,java
Yes,Yes,Yes,No,16.60,1.0181,No,18.7,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,No,20.16,1.0331,No,15.2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,17.10,1.0030,Yes,3.7,No,Yes,No,No,Yes,No,No,Yes,Yes,No,java
Yes,Yes,Yes,No,24.32,0.9410,No,18.4,No,Yes,No,No,Yes,No,No,No,No,No,java
Yes,Yes,Yes,Yes,23.01,1.0140,No,14.2,No,No,No,Yes,No,No,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,19.81,1.0241,Yes,1.7,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,No,No,No,21.41,0.9145,No,5.7,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,27.84,1.0075,Yes,1.5,No,Yes,No,No,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,No,25.46,0.8792,Yes,19.3,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,No,No,15.13,1.0489,No,0.2,No,No,No,No,No,No,No,No,No,No,java
Yes,Yes,Yes,No,21.40,0.9797,Yes,12.7,No,Yes,No,No,Yes,Yes,No,Yes,No,No,java
No,Yes,Yes,Yes,14.17,0.9684,Yes,7.5,No,Yes,Yes,No,Yes,No,No,No,No,No,java
Yes,Yes,Yes,No,10.81,1.0395,Yes,0.2,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,No,21.94,1.0457,No,10.2,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,Yes,Yes,No,13.77,0.9765,No,4.9,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,java
Yes,Yes,Yes,Yes,22.04,0.9984,No,0.5,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,java
Yes,Yes,Yes,Yes,17.58,1.0910,No,6.7,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,No,Yes,No,21.80,0.9850,Yes,5.3,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,java
Yes,Yes,Yes,Yes,20.88,1.0690,Yes,20.0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,java
Yes,Yes,No,No,15.22,1.0265,Yes,9.9,No,No,No,Yes,No,Yes,No,Yes,No,No,java
Yes,Yes,Yes,Yes,18.82,1.0003,Yes,19.6,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,java
Yes,Yes,Yes,No,22.05,0.9731,No,8.1,No,No,Yes,No,No,No,No,No,No,Yes,java
No,Yes,Yes,Yes,25.53,1.0075,Yes,18.8,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,No,20.97,0.9812,No,17.2,Yes,No,Yes,Yes,Yes,No,No,No,No,No,java
Yes,Yes,Yes,Yes,27.32,0.9794,Yes,18.7,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,java
Yes,Yes,Yes,Yes,16.35,0.9167,No,4.5,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,17.68,1.0271,No,4.6,No,No,No,Yes,Yes,Yes,Yes,No,No,No,java
Yes,No,Yes,Yes,18.71,0.9970,Yes,9.1,No,No,No,No,No,No,Yes,Yes,Yes,No,java
No,Yes,No,No,16.42,1.0535,No,8.7,No,Yes,No,No,No,No,Yes,No,No,Yes,java
Yes,No,Yes,Yes,18.20,0.9264,No,2.9,No,Yes,Yes,No,Yes,No,Yes,No,No,No,java
Yes,No,Yes,No,22.78,1.0342,Yes,19.6,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,java
Yes,Yes,No,Yes,23.77,0.8855,No,15.5,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,java
Yes,Yes,Yes,No,21.60,0.9600,No,14.9,No,No,No,Yes,No,No,Yes,No,Yes,No,java
Yes,Yes,No,No,22.32,0.9949,Yes,8.4,No,No,No,No,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,27.11,0.9723,No,3.0,No,No,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,Yes,No,No,14.60,1.0794,No,3.2,No,Yes,No,No,No,No,Yes,No,Yes,No,java
No,Yes,Yes,Yes,24.66,0.9911,No,14.6,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,java
Yes,No,Yes,No,25.59,0.9512,No,7.5,No,No,No,No,Yes,Yes,No,No,No,No,java
Yes,No,No,Yes,28.90,1.0527,Yes,14.8,No,Yes,Yes,No,Yes,No,No,No,Yes,No,java
Yes,Yes,Yes,No,20.39,0.8807,Yes,6.3,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,java
Yes,Yes,Yes,No,18.76,0.9102,Yes,11.7,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,java
Yes,Yes,Yes,Yes,18.40,1.0612,Yes,7.5,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,java
Yes,Yes,No,Yes,23.82,0.9623,No,4.1,No,No,No,Yes,Yes,Yes,No,Yes,No,No,java
Yes,Yes,Yes,Yes,20.49,0.8968,No,14.5,No,No,No,Yes,Yes,No,Yes,No,Yes,No,java
Yes,No,Yes,Yes,18.25,1.0447,No,17.3,No,No,No,No,No,No,Yes,No,Yes,Yes,java
Yes,No,Yes,No,14.65,1.0043,Yes,9.9,No,No,No,No,Yes,Yes,Yes,No,No,No,java
Yes,No,No,Yes,15.74,1.0239,No,9.8,No,No,Yes,Yes,Yes,Yes,No,No,No,No,java
Yes,Yes,No,No,24.70,1.0622,Yes,3.2,No,No,No,Yes,Yes,Yes,No,Yes,No,No,java
Yes,Yes,Yes,Yes,20.86,1.0763,No,0.8,No,No,No,Yes,Yes,No,Yes,No,No,No,java
Yes,Yes,Yes,Yes,18.67,0.9796,Yes,13.7,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,java
Yes,No,Yes,No,10.38,0.9529,Yes,15.1,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,java
Yes,Yes,Yes,Yes,16.11,1.0579,Yes,1.7,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,java
Yes,Yes,No,Yes,10.67,1.1068,No,18.9,No,No,No,No,Yes,Yes,Yes,No,No,Yes,java
Yes,No,Yes,Yes,18.98,0.9797,No,5.7,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,java
Yes,Yes,No,Yes,17.99,0.9015,Yes,2.2,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,java
Yes,Yes,No,No,15.26,1.0373,No,12.4,No,No,No,No,No,No,Yes,Yes,No,No,java
Yes,Yes,Yes,Yes,19.10,0.9938,No,17.6,Yes,No,No,Yes,No,No,No,No,No,No,java
Yes,Yes,Yes,Yes,15.18,1.0543,No,11.9,No,No,Yes,No,Yes,Yes,No,No,Yes,No,java
No,Yes,No,Yes,28.36,0.9316,No,12.3,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,java
Yes,Yes,Yes,No,17.16,1.0280,Yes,15.1,No,No,Yes,Yes,No,Yes,No,No,No,No,java
Yes,Yes,No,No,13.79,0.9919,No,16.4,No,Yes,No,Yes,No,Yes,No,Yes,No,No,java
No,Yes,Yes,Yes,25.56,0.9611,No,8.0,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,java
Yes,Yes,No,No,20.67,1.0250,Yes,18.4,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,java
Yes,No,No,Yes,18.37,1.0310,No,18.7,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,java
Yes,Yes,Yes,Yes,10.58,0.9788,Yes,6.8,No,Yes,No,Yes,No,No,Yes,No,No,No,java
Yes,Yes,No,Yes,28.45,1.0385,No,15.6,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,java
Yes,No,No,Yes,15.71,1.0112,No,11.9,No,No,No,Yes,Yes,No,Yes,Yes,No,No,java
Yes,No,Yes,No,16.47,0.9158,Yes,17.0,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,java
Yes,Yes,No,No,21.12,0.9625,No,7.6,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,No,12.41,1.0392,No,4.1,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,java
Yes,Yes,Yes,No,14.89,0.9190,No,13.3,No,No,Yes,No,Yes,No,Yes,No,No,No,java
Yes,No,Yes,Yes,22.88,0.9644,Yes,18.6,No,Yes,No,No,Yes,Yes,No,No,No,No,java
Yes,Yes,Yes,No,14.23,1.0844,Yes,1.3,No,No,No,No,No,No,No,No,Yes,No,java
Yes,No,Yes,No,16.39,0.9507,Yes,14.4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,java
Yes,No,Yes,No,18.78,0.9863,No,7.2,No,No,No,Yes,Yes,Yes,Yes,No,No,No,java
Yes,Yes,Yes,Yes,24.96,1.0257,No,13.2,No,Yes,No,Yes,No,No,Yes,No,No,No,java
Yes,Yes,Yes,Yes,20.19,1.0329,Yes,6.3,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,java
Yes,No,Yes,Yes,23.15,1.1090,Yes,11.5,No,No,No,No,No,Yes,No,No,No,No,java
Yes,Yes,Yes,Yes,19.81,0.9821,Yes,1.6,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,java
No,No,No,No,20.02,1.0300,No,7.5,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,python
Yes,No,Yes,Yes,26.70,0.9745,Yes,14.2,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,python
Yes,Yes,Yes,No,18.08,1.0793,No,5.7,No,No,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,No,Yes,No,20.45,0.9788,Yes,6.1,No,Yes,No,No,No,No,Yes,No,Yes,No,python
Yes,No,No,No,18.24,1.0184,Yes,4.4,No,No,No,Yes,Yes,No,No,No,Yes,No,python
Yes,Yes,Yes,No,28.80,0.9478,No,12.0,No,No,No,No,Yes,Yes,Yes,No,No,No,python
Yes,No,Yes,No,12.45,0.9355,Yes,3.6,No,Yes,No,Yes,No,No,Yes,No,Yes,No,python
Yes,No,Yes,Yes,10.14,0.9562,No,7.6,No,No,No,Yes,Yes,Yes,No,No,No,No,python
Yes,No,No,No,22.84,1.0498,No,10.0,Yes,No,No,No,Yes,No,Yes,No,Yes,No,python
Yes,No,Yes,Yes,21.35,1.0817,Yes,4.1,No,No,No,Yes,Yes,No,No,No,Yes,No,python
Yes,No,Yes,No,12.49,1.0690,Yes,7.6,No,Yes,No,No,Yes,Yes,No,Yes,No,No,python
Yes,No,Yes,No,25.84,1.0030,No,5.6,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,24.90,0.9254,No,11.3,No,No,No,No,Yes,Yes,Yes,No,Yes,No,python
No,Yes,No,No,18.16,1.0133,Yes,5.9,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,python
Yes,No,Yes,Yes,27.89,1.0296,No,13.7,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,python
Yes,Yes,Yes,No,15.97,1.0135,Yes,1.4,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,python
Yes,No,Yes,No,11.12,1.0001,No,1.3,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,python
Yes,No,No,Yes,26.31,1.0517,Yes,10.8,No,No,No,No,Yes,No,Yes,No,No,No,python
Yes,Yes,No,Yes,10.35,1.0307,No,8.9,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,python
No,No,Yes,Yes,21.00,1.0057,No,4.0,No,No,No,No,Yes,No,No,No,Yes,No,python
Yes,Yes,Yes,No,23.09,0.9471,No,9.9,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,python
Yes,Yes,Yes,Yes,23.06,0.9385,No,9.0,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,python
Yes,Yes,Yes,Yes,22.27,0.9290,Yes,9.1,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,python
Yes,No,No,No,18.75,0.9491,No,2.8,No,Yes,No,Yes,No,Yes,No,No,Yes,No,python
Yes,No,Yes,No,21.56,0.9910,Yes,11.3,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,python
Yes,No,Yes,Yes,14.32,0.9646,Yes,10.6,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,python
Yes,No,Yes,No,25.95,0.9761,Yes,14.5,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,python
Yes,No,Yes,Yes,18.14,1.0827,No,0.6,No,Yes,No,Yes,Yes,Yes,No,No,No,No,python
Yes,No,Yes,No,23.44,0.9856,Yes,1.6,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,python
Yes,No,Yes,No,23.09,0.9389,No,13.3,No,Yes,No,Yes,No,Yes,Yes,No,No,No,python
Yes,Yes,Yes,No,21.54,1.0027,Yes,8.6,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,No,No,No,23.22,1.0962,No,7.8,No,No,No,Yes,No,Yes,No,No,No,Yes,python
Yes,No,No,No,24.15,1.0727,No,11.5,No,No,No,Yes,No,Yes,Yes,No,No,No,python
Yes,Yes,Yes,Yes,18.51,0.9941,Yes,12.0,No,No,No,Yes,No,Yes,Yes,No,Yes,No,python
Yes,Yes,No,Yes,20.17,0.9895,Yes,7.0,No,No,No,No,No,No,Yes,No,No,No,python
Yes,Yes,Yes,No,24.20,0.9889,No,13.5,No,No,No,Yes,No,Yes,Yes,No,Yes,No,python
No,No,Yes,Yes,19.70,1.0144,No,4.2,No,No,No,No,Yes,No,Yes,No,Yes,No,python
Yes,No,Yes,Yes,21.48,0.9265,No,9.0,No,No,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,No,No,Yes,21.51,0.9323,Yes,8.8,No,Yes,No,No,No,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,27.88,0.9608,No,12.6,No,No,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,No,18.37,1.0207,No,4.4,Yes,No,No,No,Yes,No,No,No,Yes,No,python
Yes,No,Yes,Yes,24.32,0.9828,No,11.9,No,No,No,No,No,No,Yes,Yes,Yes,No,python
Yes,No,Yes,Yes,17.32,1.0131,No,2.5,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,python
No,Yes,Yes,Yes,19.67,0.9832,Yes,4.6,Yes,No,No,No,Yes,No,Yes,Yes,No,No,python
Yes,No,No,No,24.54,0.9955,No,4.9,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,python
Yes,No,Yes,No,25.70,1.0209,No,4.0,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,python
Yes,Yes,Yes,Yes,26.67,0.9815,Yes,10.9,No,No,No,Yes,No,No,Yes,No,Yes,No,python
Yes,No,No,No,23.61,1.0630,Yes,3.1,No,No,No,Yes,Yes,No,No,Yes,Yes,No,python
Yes,No,Yes,No,23.69,0.9241,Yes,11.5,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,python
Yes,Yes,Yes,Yes,17.10,0.9874,No,5.7,No,Yes,No,Yes,Yes,No,No,No,No,No,python
Yes,Yes,Yes,Yes,27.21,1.0315,Yes,14.9,No,Yes,No,Yes,Yes,No,No,No,Yes,No,python
Yes,No,Yes,No,21.50,0.9320,Yes,6.7,No,Yes,No,No,No,Yes,No,Yes,No,No,python
Yes,Yes,No,No,23.29,0.9942,Yes,4.7,No,No,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,No,10.53,1.0465,Yes,8.8,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,No,19.34,1.0049,No,8.7,No,Yes,No,Yes,No,No,No,No,Yes,No,python
Yes,No,No,Yes,12.82,0.8878,No,6.9,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,python
Yes,No,Yes,No,26.88,0.9346,No,8.4,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,python
Yes,No,No,No,11.75,0.9483,No,1.0,No,Yes,No,No,No,No,Yes,No,Yes,No,python
No,No,Yes,Yes,23.55,1.0084,No,6.1,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,python
No,Yes,Yes,Yes,22.70,0.9531,No,14.3,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,python
No,No,Yes,Yes,21.17,0.9613,Yes,4.4,No,No,No,Yes,Yes,No,No,No,Yes,No,python
Yes,Yes,Yes,No,16.50,0.9863,No,1.7,No,No,No,No,Yes,Yes,No,No,Yes,No,python
Yes,Yes,Yes,Yes,14.30,0.9319,No,15.0,No,No,No,Yes,No,No,Yes,No,Yes,No,python
Yes,Yes,No,No,16.97,1.0906,No,8.8,No,No,No,No,Yes,Yes,Yes,No,No,Yes,python
No,No,No,Yes,19.16,1.0072,Yes,12.1,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,python
Yes,Yes,Yes,No,18.66,0.9147,No,10.8,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,python
Yes,No,Yes,No,22.24,1.0459,Yes,0.4,No,No,No,Yes,Yes,No,Yes,No,Yes,No,python
Yes,No,No,Yes,21.67,0.9923,Yes,0.5,No,No,No,Yes,Yes,No,Yes,Yes,No,No,python
Yes,No,No,No,22.74,0.9363,No,6.4,No,No,No,No,No,Yes,Yes,No,No,No,python
Yes,Yes,Yes,Yes,18.44,0.9161,Yes,1.2,No,No,Yes,No,Yes,No,Yes,Yes,No,No,python
Yes,Yes,No,No,28.96,1.0231,Yes,1.3,Yes,No,No,Yes,Yes,Yes,No,No,No,No,python
Yes,Yes,Yes,No,23.73,1.1014,Yes,0.8,No,No,No,Yes,Yes,No,Yes,No,Yes,No,python
Yes,No,Yes,No,11.32,0.9296,No,10.4,No,Yes,No,No,No,No,Yes,Yes,No,No,python
Yes,No,No,Yes,14.51,1.0205,No,0.6,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,python
Yes,No,Yes,No,25.36,0.9988,No,0.7,No,Yes,No,No,No,Yes,Yes,No,Yes,No,python
No,Yes,Yes,No,28.18,1.0112,Yes,11.7,No,Yes,No,No,No,No,No,No,Yes,No,python
Yes,Yes,Yes,No,18.14,0.9849,No,14.1,Yes,No,No,Yes,Yes,Yes,No,No,No,No,python
Yes,Yes,Yes,No,15.19,1.0109,Yes,6.2,No,Yes,No,Yes,Yes,No,No,No,Yes,No,python
Yes,Yes,Yes,No,26.42,1.0654,Yes,6.8,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,python
Yes,Yes,No,Yes,21.66,1.0288,Yes,4.8,No,No,No,No,No,No,No,No,Yes,No,python
Yes,No,No,Yes,16.87,0.9987,No,13.2,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,python
No,Yes,No,Yes,18.77,1.0044,No,3.3,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,python
Yes,No,No,No,25.13,1.0517,No,12.3,No,No,Yes,Yes,No,Yes,Yes,No,No,No,python
Yes,Yes,Yes,No,13.27,1.1024,Yes,5.9,Yes,No,No,No,Yes,No,No,No,No,No,python
Yes,No,Yes,Yes,20.51,1.1113,No,2.2,No,No,No,Yes,Yes,No,No,No,No,No,python
Yes,No,Yes,No,17.61,1.0097,No,8.7,No,Yes,No,Yes,No,No,Yes,No,Yes,No,python
Yes,Yes,No,No,17.97,1.0015,No,5.1,No,No,No,Yes,Yes,No,Yes,No,No,No,python
Yes,Yes,Yes,No,29.45,0.9729,No,10.1,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,No,No,15.50,1.0160,No,13.3,No,No,No,No,Yes,Yes,Yes,No,No,No,python
Yes,No,Yes,Yes,20.62,0.9568,No,11.3,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,python
Yes,No,Yes,No,18.40,0.9822,Yes,8.3,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,python
Yes,Yes,No,No,19.74,0.9338,Yes,0.4,No,No,No,Yes,Yes,No,No,No,Yes,No,python
Yes,Yes,Yes,No,16.08,0.9590,Yes,1.7,No,No,No,Yes,No,No,Yes,No,Yes,No,python
No,Yes,Yes,Yes,20.12,0.9644,Yes,12.2,No,No,No,No,No,No,No,Yes,Yes,No,python
Yes,Yes,Yes,No,17.46,1.0248,No,12.0,No,No,No,Yes,No,No,Yes,No,Yes,No,python
Yes,No,No,No,21.72,0.9508,Yes,4.8,No,Yes,Yes,No,Yes,No,No,No,Yes,No,python
Yes,No,Yes,Yes,16.70,1.0335,Yes,3.9,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,python
Yes,Yes,Yes,Yes,14.50,1.0948,No,0.1,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,python
Yes,Yes,No,Yes,26.52,0.8936,No,13.7,No,No,Yes,Yes,Yes,No,Yes,No,No,No,python
Yes,Yes,Yes,No,29.82,0.9838,No,6.6,No,No,No,Yes,Yes,Yes,No,No,Yes,No,python
